medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Bronze Medal,3,2024-08-09,CHANG YANI,CHN,W,Diving,Women's 3m Springboard,ATH,/en/paris-2024/results/diving/women-s-3m-springboard/fnl-000100--,1901539
Gold Medal,1,2024-08-09,SPAIN,ESP,M,Football,Men,HTEAM,/en/paris-2024/results/football/men/fnl-000100--,FBLMTEAM11--ESP01
Silver Medal,2,2024-08-09,FRANCE,FRA,M,Football,Men,HTEAM,/en/paris-2024/results/football/men/fnl-000100--,FBLMTEAM11--FRA01
Bronze Medal,3,2024-08-09,GERMANY,GER,W,Football,Women,HTEAM,/en/paris-2024/results/football/women/fnl-000200--,FBLWTEAM11--GER01
Gold Medal,1,2024-08-09,NETHERLANDS,NED,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,HOCWTEAM11--NED01
Silver Medal,2,2024-08-09,CHINA,CHN,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000100--,HOCWTEAM11--CHN01
Bronze Medal,3,2024-08-09,ARGENTINA,ARG,W,Hockey,Women,HTEAM,/en/paris-2024/results/hockey/women/fnl-000200--,HOCWTEAM11--ARG01
Gold Medal,1,2024-08-09,KRISTOF RASOVSZKY,HUN,M,Marathon Swimming,Men's 10km,ATH,/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--,1909030
Silver Medal,2,2024-08-09,OLIVER KLEMET,GER,M,Marathon Swimming,Men's 10km,ATH,/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--,1907234
Bronze Medal,3,2024-08-09,DAVID BETLEHEM,HUN,M,Marathon Swimming,Men's 10km,ATH,/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--,1902450
Gold Medal,1,2024-08-09,VALENTIN BONTUS,AUT,M,Sailing,Men's Kite,ATH,/en/paris-2024/results/sailing/men-s-kite/fnl-000300--,1566437
Silver Medal,2,2024-08-09,TONI VODISEK,SLO,M,Sailing,Men's Kite,ATH,/en/paris-2024/results/sailing/men-s-kite/fnl-000300--,1981549
Bronze Medal,3,2024-08-09,MAXIMILIAN MAEDER,SGP,M,Sailing,Men's Kite,ATH,/en/paris-2024/results/sailing/men-s-kite/fnl-000300--,1535852
Gold Medal,1,2024-08-09,TOBY ROBERTS,GBR,M,Sport Climbing,Men's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--,1544218
Silver Medal,2,2024-08-09,ANRAKU SORATO,JPN,M,Sport Climbing,Men's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--,1892022
Bronze Medal,3,2024-08-09,JAKOB SCHUBERT,AUT,M,Sport Climbing,Men's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/men-s-boulder-and-lead/fnl-000200--,1560677
Gold Medal,1,2024-08-09,CHINA,CHN,M,Table Tennis,Men's Team,HTEAM,/en/paris-2024/results/table-tennis/men-s-team/fnl-00010000,TTEMTEAM----CHN01
Silver Medal,2,2024-08-09,SWEDEN,SWE,M,Table Tennis,Men's Team,HTEAM,/en/paris-2024/results/table-tennis/men-s-team/fnl-00010000,TTEMTEAM----SWE01
Bronze Medal,3,2024-08-09,FRANCE,FRA,M,Table Tennis,Men's Team,HTEAM,/en/paris-2024/results/table-tennis/men-s-team/fnl-00020000,TTEMTEAM----FRA01
Gold Medal,1,2024-08-09,FIRAS KATOUSSI,TUN,M,Taekwondo,Men -80kg,HATH,/en/paris-2024/results/taekwondo/men--80kg/fnl-000100--,1947737
Silver Medal,2,2024-08-09,MEHRAN BARKHORDARI,IRI,M,Taekwondo,Men -80kg,HATH,/en/paris-2024/results/taekwondo/men--80kg/fnl-000100--,1536058
Bronze Medal,3,2024-08-09,SIMONE ALESSIO,ITA,M,Taekwondo,Men -80kg,HATH,/en/paris-2024/results/taekwondo/men--80kg/repf000100--,1929685
Bronze Medal,3,2024-08-09,EDI HRNIC,DEN,M,Taekwondo,Men -80kg,HATH,/en/paris-2024/results/taekwondo/men--80kg/repf000200--,1914832
Gold Medal,1,2024-08-09,VIVIANA MARTON,HUN,W,Taekwondo,Women -67kg,HATH,/en/paris-2024/results/taekwondo/women--67kg/fnl-000100--,1572318
Silver Medal,2,2024-08-09,ALEKSANDRA PERISIC,SRB,W,Taekwondo,Women -67kg,HATH,/en/paris-2024/results/taekwondo/women--67kg/fnl-000100--,1956372
Bronze Medal,3,2024-08-09,KRISTINA TEACHOUT,USA,W,Taekwondo,Women -67kg,HATH,/en/paris-2024/results/taekwondo/women--67kg/repf000100--,1930773
Bronze Medal,3,2024-08-09,SARAH CHAARI,BEL,W,Taekwondo,Women -67kg,HATH,/en/paris-2024/results/taekwondo/women--67kg/repf000200--,1903284
Bronze Medal,3,2024-08-09,UNITED STATES,USA,M,Volleyball,Men,HTEAM,/en/paris-2024/results/volleyball/men/fnl-000200--,VVOMTEAM6---USA01
Gold Medal,1,2024-08-09,KARLOS MAY NASAR,BUL,M,Weightlifting,Men's 89kg,ATH,/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--,1903011
Silver Medal,2,2024-08-09,YEISON LOPEZ,COL,M,Weightlifting,Men's 89kg,ATH,/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--,1543506
Bronze Medal,3,2024-08-09,ANTONINO PIZZOLATO,ITA,M,Weightlifting,Men's 89kg,ATH,/en/paris-2024/results/weightlifting/men-s-89kg/fnl-000100--,1568724
Gold Medal,1,2024-08-09,OLIVIA REEVES,USA,W,Weightlifting,Women's 71kg,ATH,/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--,1917154
Silver Medal,2,2024-08-09,MARI LEIVIS SANCHEZ,COL,W,Weightlifting,Women's 71kg,ATH,/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--,1543509
Bronze Medal,3,2024-08-09,ANGIE PAOLA PALACIOS DAJOMES,ECU,W,Weightlifting,Women's 71kg,ATH,/en/paris-2024/results/weightlifting/women-s-71kg/fnl-000100--,1940300
Gold Medal,1,2024-08-09,HIGUCHI REI,JPN,M,Wrestling,Men's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-57kg/fnl-000100--,1939714
Silver Medal,2,2024-08-09,SPENCER RICHARD LEE,USA,M,Wrestling,Men's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-57kg/fnl-000100--,1955415
Bronze Medal,3,2024-08-09,AMAN AMAN,IND,M,Wrestling,Men's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-57kg/repf000100--,1931496
Bronze Medal,3,2024-08-09,GULOMJON ABDULLAEV,UZB,M,Wrestling,Men's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-57kg/repf000200--,1562157
Gold Medal,1,2024-08-09,MAGOMED ELDAROVITCH RAMAZANOV,BUL,M,Wrestling,Men's Freestyle 86kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-86kg/fnl-000100--,1556873
Silver Medal,2,2024-08-09,HASSAN YAZDANICHARATI,IRI,M,Wrestling,Men's Freestyle 86kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-86kg/fnl-000100--,1544803
Bronze Medal,3,2024-08-09,AARON MARQUEL BROOKS,USA,M,Wrestling,Men's Freestyle 86kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-86kg/repf000100--,1955300
Bronze Medal,3,2024-08-09,DAUREN KURUGLIEV,GRE,M,Wrestling,Men's Freestyle 86kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-86kg/repf000200--,1963800
Gold Medal,1,2024-08-09,SAKURAI TSUGUMI,JPN,W,Wrestling,Women's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-57kg/fnl-000100--,1939710
Silver Medal,2,2024-08-09,ANASTASIA NICHITA,MDA,W,Wrestling,Women's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-57kg/fnl-000100--,1572203
Bronze Medal,3,2024-08-09,HELEN LOUISE MAROULIS,USA,W,Wrestling,Women's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-57kg/repf000100--,1955426
Bronze Medal,3,2024-08-09,HONG KEXIN,CHN,W,Wrestling,Women's Freestyle 57kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-57kg/repf000200--,1920010
Gold Medal,1,2024-08-10,CHINA,CHN,W,Artistic Swimming,Duet,COUP,/en/paris-2024/results/artistic-swimming/duet/fnl-000100--,SWAWTEAM2---CHN01
Silver Medal,2,2024-08-10,GREAT BRITAIN,GBR,W,Artistic Swimming,Duet,COUP,/en/paris-2024/results/artistic-swimming/duet/fnl-000100--,SWAWTEAM2---GBR01
Bronze Medal,3,2024-08-10,NETHERLANDS,NED,W,Artistic Swimming,Duet,COUP,/en/paris-2024/results/artistic-swimming/duet/fnl-000100--,SWAWTEAM2---NED01
Gold Medal,1,2024-08-10,UNITED STATES,USA,M,Athletics,Men's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-400m-relay/fnl-000100--,ATHM4X400M--USA01
Silver Medal,2,2024-08-10,BOTSWANA,BOT,M,Athletics,Men's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-400m-relay/fnl-000100--,ATHM4X400M--BOT01
Bronze Medal,3,2024-08-10,GREAT BRITAIN,GBR,M,Athletics,Men's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/men-s-4-x-400m-relay/fnl-000100--,ATHM4X400M--GBR01
Gold Medal,1,2024-08-10,JAKOB INGEBRIGTSEN,NOR,M,Athletics,Men's 5000m,ATH,/en/paris-2024/results/athletics/men-s-5000m/fnl-000100--,1898250
Silver Medal,2,2024-08-10,RONALD KWEMOI,KEN,M,Athletics,Men's 5000m,ATH,/en/paris-2024/results/athletics/men-s-5000m/fnl-000100--,1963077
Bronze Medal,3,2024-08-10,GRANT FISHER,USA,M,Athletics,Men's 5000m,ATH,/en/paris-2024/results/athletics/men-s-5000m/fnl-000100--,1960959
Gold Medal,1,2024-08-10,EMMANUEL WANYONYI,KEN,M,Athletics,Men's 800m,ATH,/en/paris-2024/results/athletics/men-s-800m/fnl-000100--,1910412
Silver Medal,2,2024-08-10,MARCO AROP,CAN,M,Athletics,Men's 800m,ATH,/en/paris-2024/results/athletics/men-s-800m/fnl-000100--,1974048
Bronze Medal,3,2024-08-10,DJAMEL SEDJATI,ALG,M,Athletics,Men's 800m,ATH,/en/paris-2024/results/athletics/men-s-800m/fnl-000100--,1963520
Gold Medal,1,2024-08-10,HAMISH KERR,NZL,M,Athletics,Men's High Jump,ATH,/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--,1926713
Silver Medal,2,2024-08-10,SHELBY MCEWEN,USA,M,Athletics,Men's High Jump,ATH,/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--,1965306
Bronze Medal,3,2024-08-10,MUTAZ ESSA BARSHIM,QAT,M,Athletics,Men's High Jump,ATH,/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--,1566681
Gold Medal,1,2024-08-10,TAMIRAT TOLA,ETH,M,Athletics,Men's Marathon,ATH,/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--,1901284
Silver Medal,2,2024-08-10,BASHIR ABDI,BEL,M,Athletics,Men's Marathon,ATH,/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--,1942753
Bronze Medal,3,2024-08-10,BENSON KIPRUTO,KEN,M,Athletics,Men's Marathon,ATH,/en/paris-2024/results/athletics/men-s-marathon/fnl-000100--,1910555
Gold Medal,1,2024-08-10,MASAI RUSSELL,USA,W,Athletics,Women's 100m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--,1960169
Silver Medal,2,2024-08-10,CYRENA SAMBA-MAYELA,FRA,W,Athletics,Women's 100m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--,1911932
Bronze Medal,3,2024-08-10,JASMINE CAMACHO-QUINN,PUR,W,Athletics,Women's 100m Hurdles,ATH,/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--,1537183
Gold Medal,1,2024-08-10,FAITH KIPYEGON,KEN,W,Athletics,Women's 1500m,ATH,/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--,1910451
Silver Medal,2,2024-08-10,JESSICA HULL,AUS,W,Athletics,Women's 1500m,ATH,/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--,1939795
Bronze Medal,3,2024-08-10,GEORGIA BELL,GBR,W,Athletics,Women's 1500m,ATH,/en/paris-2024/results/athletics/women-s-1500m/fnl-000100--,1956840
Gold Medal,1,2024-08-10,UNITED STATES,USA,W,Athletics,Women's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--,ATHW4X400M--USA01
Silver Medal,2,2024-08-10,NETHERLANDS,NED,W,Athletics,Women's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--,ATHW4X400M--NED01
Bronze Medal,3,2024-08-10,GREAT BRITAIN,GBR,W,Athletics,Women's 4 x 400m Relay,TEAM,/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--,ATHW4X400M--GBR01
Gold Medal,1,2024-08-10,KITAGUCHI HARUKA,JPN,W,Athletics,Women's Javelin Throw,ATH,/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--,1919914
Silver Medal,2,2024-08-10,JO-ANE VAN DYK,RSA,W,Athletics,Women's Javelin Throw,ATH,/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--,1981085
Bronze Medal,3,2024-08-10,NIKOLA OGRODNIKOVA,CZE,W,Athletics,Women's Javelin Throw,ATH,/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--,1892137
Gold Medal,1,2024-08-10,UNITED STATES,USA,M,Basketball,Men,HTEAM,/en/paris-2024/results/basketball/men/fnl-000100--,BKBMTEAM5---USA01
Silver Medal,2,2024-08-10,FRANCE,FRA,M,Basketball,Men,HTEAM,/en/paris-2024/results/basketball/men/fnl-000100--,BKBMTEAM5---FRA01
Bronze Medal,3,2024-08-10,SERBIA,SRB,M,Basketball,Men,HTEAM,/en/paris-2024/results/basketball/men/fnl-000200--,BKBMTEAM5---SRB01
Gold Medal,1,2024-08-10,AHMAN/HELLVIG,SWE,M,Beach Volleyball,Men,HTEAM,/en/paris-2024/results/beach-volleyball/men/fnl-000100--,VBVMTEAM2---SWE01
Silver Medal,2,2024-08-10,EHLERS/WICKLER,GER,M,Beach Volleyball,Men,HTEAM,/en/paris-2024/results/beach-volleyball/men/fnl-000100--,VBVMTEAM2---GER01
Bronze Medal,3,2024-08-10,MOL/SORUM,NOR,M,Beach Volleyball,Men,HTEAM,/en/paris-2024/results/beach-volleyball/men/fnl-000200--,VBVMTEAM2---NOR01
Gold Medal,1,2024-08-10,BAKHODIR JALOLOV,UZB,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--,1556869
Silver Medal,2,2024-08-10,AYOUB GHADFA DRISSI EL AISSAOUI,ESP,M,Boxing,Men's +92kg,HATH,/en/paris-2024/results/boxing/men-s--plus-92kg/fnl-000100--,1934775
Gold Medal,1,2024-08-10,ABDUMALIK KHALOKOV,UZB,M,Boxing,Men's 57kg,HATH,/en/paris-2024/results/boxing/men-s-57kg/fnl-000100--,1556049
Silver Medal,2,2024-08-10,MUNARBEK SEIITBEK UULU,KGZ,M,Boxing,Men's 57kg,HATH,/en/paris-2024/results/boxing/men-s-57kg/fnl-000100--,1878687
Gold Medal,1,2024-08-10,LIN YU TING,TPE,W,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--,1887963
Silver Medal,2,2024-08-10,JULIA SZEREMETA,POL,W,Boxing,Women's 57kg,HATH,/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--,1568655
Gold Medal,1,2024-08-10,LI QIAN,CHN,W,Boxing,Women's 75kg,HATH,/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--,1926826
Silver Medal,2,2024-08-10,ATHEYNA BIBEICHI BYLON,PAN,W,Boxing,Women's 75kg,HATH,/en/paris-2024/results/boxing/women-s-75kg/fnl-000100--,1965679
Gold Medal,1,2024-08-10,PHIL WIZARD,CAN,M,Breaking,B-Boys,HATH,/en/paris-2024/results/breaking/b-boys/fnl-000100--,1958888
Silver Medal,2,2024-08-10,DANY DANN,FRA,M,Breaking,B-Boys,HATH,/en/paris-2024/results/breaking/b-boys/fnl-000100--,1880191
Bronze Medal,3,2024-08-10,VICTOR,USA,M,Breaking,B-Boys,HATH,/en/paris-2024/results/breaking/b-boys/fnl-000200--,1955590
Gold Medal,1,2024-08-10,JOSEF DOSTAL,CZE,M,Canoe Sprint,Men's Kayak Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------,1878715
Silver Medal,2,2024-08-10,ADAM VARGA,HUN,M,Canoe Sprint,Men's Kayak Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------,1570863
Bronze Medal,3,2024-08-10,BALINT KOPASZ,HUN,M,Canoe Sprint,Men's Kayak Single 1000m,ATH,/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------,1569972
Gold Medal,1,2024-08-10,KATIE VINCENT,CAN,W,Canoe Sprint,Women's Canoe Single 200m,ATH,/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------,1964547
Silver Medal,2,2024-08-10,NEVIN HARRISON,USA,W,Canoe Sprint,Women's Canoe Single 200m,ATH,/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------,1955126
Bronze Medal,3,2024-08-10,YARISLEIDIS CIRILO DUBOYS,CUB,W,Canoe Sprint,Women's Canoe Single 200m,ATH,/en/paris-2024/results/canoe-sprint/women-s-canoe-single-200m/fnl---------,1564506
Gold Medal,1,2024-08-10,LISA CARRINGTON,NZL,W,Canoe Sprint,Women's Kayak Single 500m,ATH,/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------,1945383
Silver Medal,2,2024-08-10,TAMARA CSIPES,HUN,W,Canoe Sprint,Women's Kayak Single 500m,ATH,/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------,1568350
Bronze Medal,3,2024-08-10,EMMA AASTRAND JORGENSEN,DEN,W,Canoe Sprint,Women's Kayak Single 500m,ATH,/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------,1892423
Gold Medal,1,2024-08-10,PORTUGAL,POR,M,Cycling Track,Men's Madison,TEAM,/en/paris-2024/results/cycling-track/men-s-madison/fnl-000100--,CTRMMADISON-POR01
Silver Medal,2,2024-08-10,ITALY,ITA,M,Cycling Track,Men's Madison,TEAM,/en/paris-2024/results/cycling-track/men-s-madison/fnl-000100--,CTRMMADISON-ITA01
Bronze Medal,3,2024-08-10,DENMARK,DEN,M,Cycling Track,Men's Madison,TEAM,/en/paris-2024/results/cycling-track/men-s-madison/fnl-000100--,CTRMMADISON-DEN01
Gold Medal,1,2024-08-10,CAO YUAN,CHN,M,Diving,Men's 10m Platform,ATH,/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--,1901556
Silver Medal,2,2024-08-10,TAMAI RIKUTO,JPN,M,Diving,Men's 10m Platform,ATH,/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--,1891685
Bronze Medal,3,2024-08-10,NOAH WILLIAMS,GBR,M,Diving,Men's 10m Platform,ATH,/en/paris-2024/results/diving/men-s-10m-platform/fnl-000100--,1900857
Gold Medal,1,2024-08-10,UNITED STATES,USA,W,Football,Women,HTEAM,/en/paris-2024/results/football/women/fnl-000100--,FBLWTEAM11--USA01
Silver Medal,2,2024-08-10,BRAZIL,BRA,W,Football,Women,HTEAM,/en/paris-2024/results/football/women/fnl-000100--,FBLWTEAM11--BRA01
Gold Medal,1,2024-08-10,LYDIA KO,NZL,W,Golf,Women's Individual Stroke Play,ATH,/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------,1939553
Silver Medal,2,2024-08-10,ESTHER HENSELEIT,GER,W,Golf,Women's Individual Stroke Play,ATH,/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------,1892506
Bronze Medal,3,2024-08-10,LIN XIYU JANET,CHN,W,Golf,Women's Individual Stroke Play,ATH,/en/paris-2024/results/golf/women-s-individual-stroke-play/fnl---------,1913218
Gold Medal,1,2024-08-10,NORWAY,NOR,W,Handball,Women,HTEAM,/en/paris-2024/results/handball/women/fnl-000100--,HBLWTEAM7---NOR01
Silver Medal,2,2024-08-10,FRANCE,FRA,W,Handball,Women,HTEAM,/en/paris-2024/results/handball/women/fnl-000100--,HBLWTEAM7---FRA01
Bronze Medal,3,2024-08-10,DENMARK,DEN,W,Handball,Women,HTEAM,/en/paris-2024/results/handball/women/fnl-000200--,HBLWTEAM7---DEN01
Gold Medal,1,2024-08-10,AHMED ELGENDY,EGY,M,Modern Pentathlon,Men's Individual,ATH,/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--,1932649
Silver Medal,2,2024-08-10,SATO TAISHU,JPN,M,Modern Pentathlon,Men's Individual,ATH,/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--,1887939
Bronze Medal,3,2024-08-10,GIORGIO MALAN,ITA,M,Modern Pentathlon,Men's Individual,ATH,/en/paris-2024/results/modern-pentathlon/men-s-individual/fnl-0001lr--,1553031
Gold Medal,1,2024-08-10,JANJA GARNBRET,SLO,W,Sport Climbing,Women's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--,1981131
Silver Medal,2,2024-08-10,BROOKE RABOUTOU,USA,W,Sport Climbing,Women's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--,1950307
Bronze Medal,3,2024-08-10,JESSICA PILZ,AUT,W,Sport Climbing,Women's Boulder & Lead,ATH,/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--,1560673
Gold Medal,1,2024-08-10,CHINA,CHN,W,Table Tennis,Women's Team,HTEAM,/en/paris-2024/results/table-tennis/women-s-team/fnl-00010000,TTEWTEAM----CHN01
Silver Medal,2,2024-08-10,JAPAN,JPN,W,Table Tennis,Women's Team,HTEAM,/en/paris-2024/results/table-tennis/women-s-team/fnl-00010000,TTEWTEAM----JPN01
Bronze Medal,3,2024-08-10,KOREA,KOR,W,Table Tennis,Women's Team,HTEAM,/en/paris-2024/results/table-tennis/women-s-team/fnl-00020000,TTEWTEAM----KOR01
Gold Medal,1,2024-08-10,ARIAN SALIMI,IRI,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/fnl-000100--,1536045
Silver Medal,2,2024-08-10,CADEN CUNNINGHAM,GBR,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/fnl-000100--,1896149
Bronze Medal,3,2024-08-10,RAFAEL ALBA,CUB,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/repf000100--,1897088
Bronze Medal,3,2024-08-10,CHEICK SALLAH CISSE,CIV,M,Taekwondo,Men +80kg,HATH,/en/paris-2024/results/taekwondo/men--plus-80kg/repf000200--,1548401
Gold Medal,1,2024-08-10,ALTHEA LAURIN,FRA,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/fnl-000100--,1893272
Silver Medal,2,2024-08-10,SVETLANA OSIPOVA,UZB,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/fnl-000100--,1887768
Bronze Medal,3,2024-08-10,LEE DABIN,KOR,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/repf000100--,1904039
Bronze Medal,3,2024-08-10,NAFIA KUS AYDIN,TUR,W,Taekwondo,Women +67kg,HATH,/en/paris-2024/results/taekwondo/women--plus-67kg/repf000200--,1566738
Gold Medal,1,2024-08-10,FRANCE,FRA,M,Volleyball,Men,HTEAM,/en/paris-2024/results/volleyball/men/fnl-000100--,VVOMTEAM6---FRA01
Silver Medal,2,2024-08-10,POLAND,POL,M,Volleyball,Men,HTEAM,/en/paris-2024/results/volleyball/men/fnl-000100--,VVOMTEAM6---POL01
Bronze Medal,3,2024-08-10,BRAZIL,BRA,W,Volleyball,Women,HTEAM,/en/paris-2024/results/volleyball/women/fnl-000200--,VVOWTEAM6---BRA01
Gold Medal,1,2024-08-10,SPAIN,ESP,W,Water Polo,Women,HTEAM,/en/paris-2024/results/water-polo/women/fnl-000100--,WPOWTEAM7---ESP01
Silver Medal,2,2024-08-10,AUSTRALIA,AUS,W,Water Polo,Women,HTEAM,/en/paris-2024/results/water-polo/women/fnl-000100--,WPOWTEAM7---AUS01
Bronze Medal,3,2024-08-10,NETHERLANDS,NED,W,Water Polo,Women,HTEAM,/en/paris-2024/results/water-polo/women/fnl-000200--,WPOWTEAM7---NED01
Gold Medal,1,2024-08-10,LASHA TALAKHADZE,GEO,M,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--,1551443
Silver Medal,2,2024-08-10,VARAZDAT LALAYAN,ARM,M,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--,1544424
Bronze Medal,3,2024-08-10,GOR MINASYAN,BRN,M,Weightlifting,Men's +102kg,ATH,/en/paris-2024/results/weightlifting/men-s--plus-102kg/fnl-000100--,1540334
Gold Medal,1,2024-08-10,LIU HUANHUA,CHN,M,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1918369
Silver Medal,2,2024-08-10,AKBAR DJURAEV,UZB,M,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1551307
Bronze Medal,3,2024-08-10,YAUHENI TSIKHANTSOU,AIN,M,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--,1569832
Gold Medal,1,2024-08-10,SOLFRID EILA AMENA KOANDA,NOR,W,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--,1878625
Silver Medal,2,2024-08-10,SARA AHMED,EGY,W,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--,1563010
Bronze Medal,3,2024-08-10,NEISI PATRICIA DAJOMES BARRERA,ECU,W,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--,1940308
Gold Medal,1,2024-08-10,GENO PETRIASHVILI,GEO,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--,1554885
Silver Medal,2,2024-08-10,AMIR HOSSEIN ZARE,IRI,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--,1543088
Bronze Medal,3,2024-08-10,TAHA AKGUL,TUR,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/repf000100--,1570546
Bronze Medal,3,2024-08-10,GIORGI MESHVILDISHVILI,AZE,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/repf000200--,1947172
